"","test","X","X0","X1","p","p.adj"
"1","nonnorm","age (median [IQR])"," 58.97 [51.91, 69.01]"," 66.21 [56.56, 72.66]"," 0.168",0.403846153846154
"2","nonnorm","bmi (median [IQR])"," 31.51 [27.96, 38.78]"," 30.73 [26.83, 34.08]"," 0.432",0.648
"3","nonnorm","sofa (median [IQR])","  5.00 [4.00, 9.00]","  9.00 [8.00, 9.00]","<0.001",NA
"4","nonnorm","Charlson (median [IQR])","  3.00 [2.00, 4.50]","  4.00 [2.00, 5.00]"," 0.551",0.68875
"5","nonnorm","APACHE (median [IQR])"," 18.00 [13.00, 22.50]"," 23.00 [19.00, 30.25]"," 0.002",0.045
"6","nonnorm","PaO2FiO2 (median [IQR])"," 95.00 [80.00, 160.00]"," 91.00 [77.00, 158.50]"," 0.911",0.931
"7","nonnorm","InvSimpson (median [IQR])"," 10.77 [7.53, 18.05]"," 10.80 [5.74, 20.70]"," 0.931",0.931
"8","nonnorm","Symptom_Days (median [IQR])","  5.00 [3.00, 7.00]","  5.00 [2.75, 8.00]"," 0.912",0.931
"9","nonnorm","ESR (median [IQR])"," 84.50 [69.75, 115.25]","116.00 [71.75, 120.00]"," 0.311",0.583125
"10","nonnorm","CRP (median [IQR])"," 77.50 [28.25, 155.00]","119.00 [82.00, 176.75]"," 0.100",0.3
"11","nonnorm","PTT (median [IQR])"," 34.70 [30.60, 62.15]"," 37.95 [32.88, 58.70]"," 0.419",0.648
"12","nonnorm","LDH (median [IQR])","451.00 [375.50, 540.75]","611.00 [477.00, 686.50]"," 0.010",0.075
"13","nonnorm","Hemoglobin (median [IQR])"," 12.80 [11.72, 14.38]"," 10.95 [8.28, 12.80]","<0.001",NA
"14","nonnorm","Platelet (median [IQR])","241.00 [169.50, 323.00]","202.00 [119.50, 284.50]"," 0.055",0.235714285714286
"15","nonnorm","WBC (median [IQR])","  9.50 [6.65, 12.80]","  8.90 [7.18, 11.60]"," 0.720",0.830769230769231
"16","nonnorm","Neutrophil (median [IQR])"," 71.00 [6.57, 82.00]"," 10.51 [5.39, 86.00]"," 0.481",0.657272727272727
"17","nonnorm","Basophil (median [IQR])","  0.01 [0.00, 0.03]","  0.01 [0.00, 0.02]"," 0.605",0.726
"18","nonnorm","Eosinophil (median [IQR])","  0.00 [0.00, 0.00]","  0.00 [0.00, 0.00]"," 0.871",0.931
"19","nonnorm","3-oxolithocholic acid (median [IQR])","  4.71 [0.64, 54.90]","  1.88 [0.06, 14.03]"," 0.086",0.286666666666667
"20","nonnorm","alloisolithocholic acid (median [IQR])","  0.44 [0.00, 2.79]","  0.20 [0.00, 6.18]"," 0.482",0.657272727272727
"21","nonnorm","taurocholic acid (median [IQR])","  0.55 [0.22, 2.23]","  0.30 [0.08, 24.06]"," 0.391",0.648
"22","nonnorm","cholic acid (median [IQR])"," 16.21 [1.48, 215.59]","  7.92 [0.79, 88.15]"," 0.214",0.458571428571429
"23","nonnorm","deoxycholic acid (median [IQR])"," 74.09 [18.61, 246.34]"," 10.68 [0.49, 62.50]"," 0.003",0.045
"24","nonnorm","lithocholic acid (median [IQR])"," 61.61 [4.30, 252.61]","  9.76 [0.24, 60.07]"," 0.008",0.075
"25","nonnorm","glycocholic acid (median [IQR])","  0.43 [0.18, 2.83]","  0.45 [0.03, 11.78]"," 0.511",0.666521739130435
"26","nonnorm","isodeoxycholic acid (median [IQR])","  7.60 [0.70, 25.09]","  2.89 [0.06, 10.93]"," 0.038",0.19
"27","nonnorm","acetate (median [IQR])","  3.87 [2.29, 20.44]","  3.13 [1.17, 11.23]"," 0.175",0.403846153846154
"28","nonnorm","butyrate (median [IQR])","  0.51 [0.20, 2.39]","  0.29 [0.06, 0.97]"," 0.286",0.572
"29","nonnorm","propionate (median [IQR])","  1.55 [0.47, 4.94]","  0.75 [0.19, 1.62]"," 0.169",0.403846153846154
"30","nonnorm","succinate (median [IQR])","  0.59 [0.26, 1.58]","  0.50 [0.18, 1.38]"," 0.431",0.648
