"total","Kingdom","Phylum","Class","Order","Family","Genus","Species","taxid","numseqs","pctseqs","patient_ID"
4363258,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Klebsiella","",570,889226,0.203798629372822,"covid_001"
4363258,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Klebsiella","Klebsiella pneumoniae",573,512671,0.117497292161041,"covid_001"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides","Parabacteroides distasonis",823,426910,0.0978420253856178,"covid_001"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides","Bacteroides sp. CBA7301",2715212,237233,0.0543706102183277,"covid_001"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides","",375288,185156,0.0424352628242474,"covid_001"
4363258,"Bacteria","","","","","Bacteria|||||","",2,165264,0.0378762841894749,"covid_001"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides","Bacteroides xylanisolvens",371601,144015,0.0330062994212123,"covid_001"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides","",816,94520,0.0216627116709578,"covid_001"
4363258,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Erysipelatoclostridium","[Clostridium] innocuum",1522,88333,0.0202447345538586,"covid_001"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides","Bacteroides ovatus",28116,86685,0.019867035137505,"covid_001"
4363258,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Eggerthella","Eggerthella lenta",84112,81912,0.0187731277866218,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Enterocloster","Enterocloster bolteae",208479,70249,0.0161001251816876,"covid_001"
4363258,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|","",543,54601,0.0125138142186412,"covid_001"
4363258,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Collinsella","Collinsella aerofaciens",74426,51416,0.0117838550917686,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Faecalibacterium","Faecalibacterium prausnitzii",853,50853,0.0116548230702837,"covid_001"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales||","",171549,44410,0.0101781741991879,"covid_001"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides","Bacteroides caecimuris",1796613,42665,0.00977824368854649,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Lachnoclostridium","Lachnoclostridium sp. YL32",1834196,42264,0.00968633988638765,"covid_001"
4363258,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus","Lactobacillus johnsonii",33959,39502,0.00905332666553296,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Lachnoclostridium","[Clostridium] scindens",29347,37108,0.00850465409104848,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|","",186803,35913,0.00823077617688434,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Blautia","Blautia sp. SC05B48",2479767,35454,0.00812557955546062,"covid_001"
4363258,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus","Staphylococcus aureus",1280,33544,0.0076878332658761,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Anaerobutyricum","Anaerobutyricum hallii",39488,26623,0.00610163322911457,"covid_001"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides","Bacteroides luhongzhouii",2650158,26548,0.00608444423868586,"covid_001"
4363258,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","","Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales||","",91347,26264,0.00601935526159581,"covid_001"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides","Parabacteroides distasonis",435591,25468,0.00583692277651241,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Blautia","Blautia producta",33035,25096,0.005751665383986,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Enterocloster","Enterocloster clostridioformis",1531,24469,0.00560796542400197,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Mediterraneibacter","[Ruminococcus] gnavus",411470,23972,0.00549405971409438,"covid_001"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes","Alistipes finegoldii",679935,23439,0.005371903288781,"covid_001"
4363258,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides","Bacteroides thetaiotaomicron",818,23299,0.00533981717331407,"covid_001"
4363258,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Collinsella","Collinsella aerofaciens",411903,22838,0.00523416217881225,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Flavonifractor","Flavonifractor plautii",292800,21807,0.00499787085705223,"covid_001"
4363258,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus","",1578,20737,0.00475264126026928,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Ruthenibacterium","Ruthenibacterium lactatiformans",1550024,20604,0.00472215945057569,"covid_001"
4363258,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Eggerthella","Eggerthella lenta",479437,19998,0.0045832724079117,"covid_001"
4363258,"Bacteria","Firmicutes","Clostridia","Eubacteriales","","Bacteria|Firmicutes|Clostridia|Eubacteriales||","",186802,19446,0.00445676143835638,"covid_001"
